=== PT vs TRT 채점표 (PT 220개 / TRT 220개 완료) ===

                 route scenario                   | PTcomp cv cl | TRTcomp cv cl | 회피일치
---------------------------------------------------------------------------------------
RouteScenario_10857_re VehicleTurningRoutePedestr |    100  0  0 |     100  0  0 | O
RouteScenario_11381_re VehicleTurningRoutePedestr |     36  2  0 |       1  2  4 | O
RouteScenario_11715_re EnterActorFlow_1           |     70  0  0 |      70  0  0 | O
RouteScenario_11755_re EnterActorFlow_1           |     70  0  0 |       5  5  0 | X (PT cv0 / TRT cv5)
RouteScenario_14194_re PedestrianCrossing_1       |    100  0  0 |      60  1  0 | X (PT cv0 / TRT cv1)
RouteScenario_14842_re VanillaSignalizedTurnEncou |    100  0  0 |     100  0  0 | O
RouteScenario_14862_re VanillaSignalizedTurnEncou |    100  0  0 |     100  0  0 | O
RouteScenario_14909_re VanillaSignalizedTurnEncou |    100  0  0 |     100  0  0 | O
RouteScenario_1711_rep ParkingCutIn_1             |     18  0  4 |      21  0  3 | O
RouteScenario_17563_re SequentialLaneChange_1     |    100  0  0 |     100  0  0 | O
RouteScenario_17569_re SequentialLaneChange_1     |     36  2  0 |      36  2  0 | O
RouteScenario_17598_re SequentialLaneChange_1     |     60  1  0 |      60  1  0 | O
RouteScenario_17635_re SequentialLaneChange_1     |    100  0  0 |     100  0  0 | O
RouteScenario_17655_re SequentialLaneChange_1     |    100  0  0 |     100  0  0 | O
RouteScenario_1773_rep ParkedObstacle_1           |    100  0  0 |     100  0  0 | O
RouteScenario_17752_re DynamicObjectCrossing_1    |    100  0  0 |      31  2  0 | X (PT cv0 / TRT cv2)
RouteScenario_1790_rep HazardAtSideLane_1         |     60  1  0 |     100  0  0 | X (PT cv1 / TRT cv0)
RouteScenario_1792_rep HazardAtSideLane_1         |     60  1  0 |     100  0  0 | X (PT cv1 / TRT cv0)
RouteScenario_18252_re ParkingCrossingPedestrian_ |    100  0  0 |     100  0  0 | O
RouteScenario_1825_rep ConstructionObstacleTwoWay |     23  0  1 |      12  0  3 | O
RouteScenario_18305_re ParkingCutIn_1             |    100  0  0 |     100  0  0 | O
RouteScenario_18311_re ParkingCutIn_1             |    100  0  0 |     100  0  0 | O
RouteScenario_1833_rep ConstructionObstacleTwoWay |     26  0  1 |      25  0  1 | O
RouteScenario_18356_re ParkingCutIn_1             |    100  0  0 |     100  0  0 | O
RouteScenario_1852_rep AccidentTwoWays_1          |    100  0  0 |     100  0  0 | O
RouteScenario_1956_rep ParkingExit_1              |      3  1  0 |       4  1  0 | O
RouteScenario_2050_rep SignalizedJunctionRightTur |     60  1  0 |      60  1  0 | O
RouteScenario_2082_rep OppositeVehicleRunningRedL |    100  0  0 |     100  0  0 | O
RouteScenario_2084_rep NonSignalizedJunctionLeftT |     31  1  0 |       7  3  1 | O
RouteScenario_2086_rep NonSignalizedJunctionLeftT |     19  2  0 |       4  6  0 | O
RouteScenario_2091_rep NonSignalizedJunctionLeftT |     60  1  0 |      60  1  0 | O
RouteScenario_20920_re ConstructionObstacleTwoWay |     18  0  4 |      18  0  4 | O
RouteScenario_2115_rep NonSignalizedJunctionRight |     60  1  0 |      60  1  0 | O
RouteScenario_2127_rep OppositeVehicleTakingPrior |     19  2  1 |      19  1  2 | O
RouteScenario_2129_rep OppositeVehicleTakingPrior |     21  2  0 |      35  2  0 | O
RouteScenario_2143_rep OppositeVehicleTakingPrior |     24  1  1 |      18  1  1 | O
RouteScenario_2144_rep VehicleTurningRoute_1      |     60  1  0 |      60  1  0 | O
RouteScenario_2164_rep VehicleTurningRoutePedestr |     80  0  0 |      80  0  0 | O
RouteScenario_2201_rep EnterActorFlow_1           |      2  6  0 |      25  2  0 | O
RouteScenario_2204_rep BlockedIntersection_1      |     39  1  1 |      12  4  0 | O
RouteScenario_2215_rep BlockedIntersection_1      |     42  1  0 |       6  4  0 | O
RouteScenario_2273_rep MergerIntoSlowTraffic_1    |    100  0  0 |     100  0  0 | O
